ticker,company,sector,cik,in_sp500,in_nasdaq,in_fortune500,quarters
FDXF,FedEx Freight,Industrials,0002082247,True,False,False,0
HONA,Honeywell Aerospace,Industrials,0002089271,True,True,False,0
Q,Qnity Electronics,Information Technology,0002058873,True,False,False,8
SNDK,Sandisk,Information Technology,0002023554,True,True,False,12
SW,Smurfit Westrock,Materials,0002005951,True,False,False,13
SOLV,Solventum,Health Care,0001964738,True,False,False,14
GEV,GE Vernova,Industrials,0001996810,True,False,False,15
VLTO,Veralto,Industrials,0001967680,True,False,False,15
CRH,CRH plc,Materials,0000849395,True,False,False,16
TKO,TKO Group Holdings,Communication Services,0001973266,True,False,False,16
AAPG,Ascentage Pharma Group International,,0002023311,False,True,False,0
ACB,Aurora Cannabis Inc.,,0001683541,False,True,False,0
ACGC,ACP Holdings Acquisition Corp.,,0002111542,False,True,False,0
ACIU,AC Immune SA,,0001651625,False,True,False,0
ADUR,Aduro Clean Technologies Inc.,,0001863934,False,True,False,0
AEC,Anfield Energy Inc.,,0001519469,False,True,False,0
AEHL,Antelope Enterprise Holdings Limited,,0001470683,False,True,False,0
AFYA,Afya Limited,,0001771007,False,True,False,0
AGMB,AgomAb Therapeutics NV,,0002020932,False,True,False,0
AGRZ,Agroz Inc.,,0002009233,False,True,False,0
AIBZ,Bitzero Holdings Inc.,,0002100457,False,True,False,0
AIIR,Air Global PLC,,0002097725,False,True,False,0
AKAN,Akanda Corp.,,0001888014,False,True,False,0
ALM,Almonty Industries Inc.,,0001670061,False,True,False,0
ALP,Alpha Compute Corp,,0001095435,False,True,False,0
ALPS,ALPS Group Inc,,0002025774,False,True,False,0
ALPX,Alpex Acquisition Corporation,,0002125551,False,True,False,0
ALVO,Alvotech,,0001898416,False,True,False,0
AMAN,Amanat Acquisition Corp,,0002112457,False,True,False,0
ANGH,Anghami Inc.,,0001871983,False,True,False,0
APLM,Apollomics Inc.,,0001944885,False,True,False,0
APMC,AmperCap Acquisition Company,,0002101393,False,True,False,0
APMD,"Apnimed, Inc.",,0001745648,False,True,False,0
APWC,Asia Pacific Wire & Cable Corporation Limited,,0001026980,False,True,False,0
ARBB,ARB IOT Group Limited,,0001930179,False,True,False,0
ARQQ,Arqit Quantum Inc.,,0001859690,False,True,False,0
ASND,Ascendis Pharma A/S,,0001612042,False,True,False,0
ASTL,Algoma Steel Group Inc.,,0001860805,False,True,False,0
AUGO,Aura Minerals Inc.,,0001468642,False,True,False,0
AYA,Aya Gold & Silver Inc.,,0001826836,False,True,False,0
AZ,A2Z Cust2Mate Solutions Corp.,,0001866030,False,True,False,0
BANX,ArrowMark Financial Corp.,,0001578987,False,True,False,0
BCCQ,Bleichroeder Acquisition Corp. III,,0002128045,False,True,False,0
BID,Tribeca Strategic Acquisition Corp.,,0002094919,False,True,False,0
BIOT,Instinct Bio Technical Company Holdings Inc.,,0002072188,False,True,False,0
BIOX,Bioceres Crop Solutions Corp.,,0001769484,False,True,False,0
BLDP,"Ballard Power Systems, Inc.",,0001453015,False,True,False,0
BLIV,BeLive Holdings,,0001982448,False,True,False,0
BMGL,Basel Medical Group Ltd,,0002004489,False,True,False,0
BMHL,Bluemount Holdings Limited,,0002027815,False,True,False,0
BMM,Blue Moon Metals Inc.,,0001732379,False,True,False,0
BOT,"RoboStrategy, Inc.",,0002081119,False,True,False,0
BPYPM,Brookfield Property Partners L.P.,,0001545772,False,True,False,0
BPYPN,Brookfield Property Partners L.P.,,0001545772,False,True,False,0
BPYPO,Brookfield Property Partners L.P.,,0001545772,False,True,False,0
BPYPP,Brookfield Property Partners L.P.,,0001545772,False,True,False,0
BRAG,Bragg Gaming Group Inc.,,0001867834,False,True,False,0
BRAI,Braiin Limited,,0002076975,False,True,False,0
BRBI,BRBI BR Partners S.A.,,0002058601,False,True,False,0
BREZ,Breeze Acquisition Corp. II,,0002095443,False,True,False,0
BSP,Bending Spoons S.p.A.,,0002004711,False,True,False,0
BTDR,Bitdeer Technologies Group,,0001899123,False,True,False,0
BTQ,BTQ Technologies Corp.,,0001821866,False,True,False,0
CAE,CAE Inc,,0001173382,False,True,False,0
CAES,"Cantor Equity Partners VII, Inc.",,0002087965,False,True,False,0
CAII,Collective Acquisition Corp. II,,0002115404,False,True,False,0
CBAT,CBAK Energy Technology Limited,,0002086841,False,True,False,0
CCCT,Columbus Circle Capital Corp III,,0002123471,False,True,False,0
CCD,Calamos Dynamic Convertible & Income Fund,,0001602584,False,True,False,0
CCEP,Coca-Cola Europacific Partners plc,,0001650107,False,True,False,0
CDRO,"Codere Online Luxembourg, S.A.",,0001866782,False,True,False,0
CGO,Calamos Global Total Return Fund,,0001285650,False,True,False,0
CHI,Calamos Convertible Opportunities and Income Fund,,0001171471,False,True,False,0
CHNR,"China Natural Resources, Inc.",,0000793628,False,True,False,0
CHW,Calamos Global Dynamic Income Fund,,0001396277,False,True,False,0
CHY,Calamos Convertible and High Income Fund,,0001222719,False,True,False,0
CIGL,Concorde International Group Ltd,,0002001794,False,True,False,0
CLBK,"Columbia Financial, Inc.",,0002115119,False,True,False,0
CMND,Clearmind Medicine Inc.,,0001892500,False,True,False,0
CNCK,Coincheck Group N.V.,,0001913847,False,True,False,0
CNSY,"Cerenome, Inc.",,,False,True,False,0
COOT,Australian Oilseeds Holdings Limited,,0001959994,False,True,False,0
CPZ,Calamos Long/Short Equity & Dynamic Income Trust,,0001717457,False,True,False,0
CRDL,Cardiol Therapeutics Inc.,,0001702123,False,True,False,0
CRGO,Freightos Limited,,0001927719,False,True,False,0
CRML,Critical Metals Corp.,,0001951089,False,True,False,0
CSQ,Calamos Strategic Total Return Fund,,0001275214,False,True,False,0
DCBO,Docebo Inc.,,0001829959,False,True,False,0
DEFT,"Defi Technologies, Inc.",,0001888274,False,True,False,0
DETX,"Liberty Defense Holdings, Ltd.",,0001919776,False,True,False,0
DFSC,DEFSEC Technologies Inc.,,0001889823,False,True,False,0
DGNX,Diginex Limited,,0002010499,False,True,False,0
DLO,DLocal Limited,,0001846832,False,True,False,0
DMRC,Digimarc Corporation,,0002119322,False,True,False,0
DOO,BRP Inc.,,0001748797,False,True,False,0
DPRO,Draganfly Inc.,,0001786286,False,True,False,0
DRUG,Bright Minds Biosciences Inc.,,0001827401,False,True,False,0
DTSS,Datasea Intelligent Technology Ltd.,,0002110423,False,True,False,0
DXR,Daxor Corporation,,0000027367,False,True,False,0
ELBM,Electra Battery Materials Corporation,,0001907184,False,True,False,0
ELE,Elemental Royalty Corporation,,0002086771,False,True,False,0
ELVA,Electrovaya Inc.,,0001844450,False,True,False,0
ELVR,Elevra Lithium Limited,,0001739016,False,True,False,0
ENLT,Enlight Renewable Energy Ltd.,,0001922641,False,True,False,0
ETOR,eToro Group Ltd.,,0001493318,False,True,False,0
EVGN,Evogene Ltd.,,0001574565,False,True,False,0
FDMM,Freedom Metals Acquisition Corp.,,0002129659,False,True,False,0
FER,Ferrovial N.V.,,0001468522,False,True,False,0
FGL,Founder Group Limited,,0001989930,False,True,False,0
FMFC,Kandal M Venture Limited,,0002024656,False,True,False,0
FMST,Foremost Clean Energy Ltd.,,0001935418,False,True,False,0
FNUC,Frontier Nuclear and Minerals Inc.,,0001769697,False,True,False,0
FRBA,First Bank,,,False,True,False,0
FRBT,"Forbright, Inc.",,0001925062,False,True,False,0
FRTT,Fort Technology Inc.,,0002092967,False,True,False,0
FUND,"Sprott Focus Trust, Inc.",,0000825202,False,True,False,0
FWAC,Futurewave Acquisition Corporation,,0002116105,False,True,False,0
FXAC,FortuneX Acquisition Corporation,,0002121703,False,True,False,0
GCGR,General Catalyst Global Resilience Merger Corp.,,0002108962,False,True,False,0
GDEV,GDEV Inc.,,0001848739,False,True,False,0
GDTC,CytoMed Therapeutics Limited,,0001873093,False,True,False,0
GELS,Gelteq Limited,,0001920092,False,True,False,0
GFS,GlobalFoundries Inc.,,0001709048,False,True,False,0
GGR,Gogoro Inc.,,0001886190,False,True,False,0
GHRS,GH Research PLC,,0001855129,False,True,False,0
GLBS,Globus Maritime Limited,,0001499780,False,True,False,0
GP,GreenPower Motor Company Inc.,,0001584547,False,True,False,0
GRAB,Grab Holdings Limited,,0001855612,False,True,False,0
GRRR,Gorilla Technology Group Inc.,,0001903145,False,True,False,0
GRSD,Grandstand Limited,,,False,True,False,0
GSM,Ferroglobe PLC,,0001639877,False,True,False,0
GUAC,Berto Acquisition Corp. II,,0002081515,False,True,False,0
GYGY,"Game Your Game, Inc.",,0002111846,False,True,False,0
GYRO,"Gyrodyne , LLC",,0001589061,False,True,False,0
HBNB,Hotel101 Global Holdings Corp.,,0002054507,False,True,False,0
HELP,Cybin Inc.,,0001833141,False,True,False,0
HERZ,"Herzfeld Credit Income Fund, Inc.",,0000880406,False,True,False,0
HIFS,Hingham Institution for Savings,,,False,True,False,0
HITI,High Tide Inc.,,0001847409,False,True,False,0
HKPD,"Cellyan Biotechnology Co., Ltd",,0002007702,False,True,False,0
HQ,Horizon Quantum Holdings Ltd.,,0002088256,False,True,False,0
HTOO,Fusion Fuel Green PLC,,0001819794,False,True,False,0
HUBC,Hub Cyber Security Ltd.,,0001905660,False,True,False,0
HUBCW,Hub Cyber Security Ltd.,,0001905660,False,True,False,0
HYFT,MindWalk Holdings Corp.,,0001715925,False,True,False,0
IACQ,Irenic Acquisition Corp.,,0002122505,False,True,False,0
IFRX,InflaRx N.V.,,0001708688,False,True,False,0
IMCC,IM Cannabis Corp.,,0001792030,False,True,False,0
IMTE,Integrated Media Technology Limited,,0001668438,False,True,False,0
IMTX,Immatics N.V.,,0001809196,False,True,False,0
INCR,Intercure Ltd.,,0001857030,False,True,False,0
INTR,Inter & Co. Inc.,,0001864163,False,True,False,0
IOND,Ionic Digital Inc.,,0002007691,False,True,False,0
IPVV,"InterPrivate Investment Partners V, Inc.",,0002105274,False,True,False,0
ISNR,Snow Rothschild Acquisition Corp.,,0002123475,False,True,False,0
ITG,"ITG, Inc.",,0002110117,False,True,False,0
IVA,Inventiva S.A.,,0001756594,False,True,False,0
JATT,JATT II Acquisition Corp,,0002112446,False,True,False,0
JXG,JX Luxventure Group Inc.,,0001546383,False,True,False,0
KARD,"Kardigan, Inc.",,0002123613,False,True,False,0
KARO,Karooooo Ltd.,,0001828102,False,True,False,0
KEYY,Keystone Acquisition Corp.,,0002102771,False,True,False,0
KGEI,Kolibri Global Energy Inc.,,0001477081,False,True,False,0
KMDA,Kamada Ltd.,,0001567529,False,True,False,0
KSPI,Joint Stock Company Kaspi.kz,,0001985487,False,True,False,0
KWM,"K Wave Media, Ltd.",,0002000756,False,True,False,0
KYIV,Kyivstar Group Ltd.,,0002062440,False,True,False,0
LCFY,Locafy Limited,,0001875547,False,True,False,0
LFTO,"Liftoff Mobile, Inc.",,0001850351,False,True,False,0
LGO,Largo Inc.,,0001400438,False,True,False,0
LIME,"Neutron Holdings, Inc.",,0001699963,False,True,False,0
